Year,Month,Day,Hour,LMP
2024,6,17,2,25.892266666666668
2024,6,17,3,27.479183333333335
2024,6,17,4,25.26010666666667
2024,6,17,5,27.655326666666667
2024,6,17,6,29.983729999999998
2024,6,17,7,21.310280000000002
2024,6,17,8,0.18644000000000002
2024,6,17,9,-4.907753333333333
2024,6,17,10,-6.906276666666667
2024,6,17,11,-7.946916666666667
2024,6,17,12,-8.43848
2024,6,17,13,-13.030356666666668
2024,6,17,14,-10.380543333333334
2024,6,17,15,-7.78002
2024,6,17,16,-3.9741666666666666
2024,6,17,17,-2.5534866666666667
2024,6,17,18,9.74176
2024,6,17,19,27.818326666666668
2024,6,17,20,39.65653666666666
2024,6,17,21,43.51033666666667
2024,6,17,22,36.28509666666667
2024,6,17,23,29.965099999999996
2024,6,17,24,29.54866
2024,6,18,1,27.640133333333335
2024,6,18,2,25.979646666666667
2024,6,18,3,25.45320666666667
2024,6,18,4,25.295149999999996
2024,6,18,5,27.900090000000002
2024,6,18,6,30.04212
2024,6,18,7,26.232160000000004
2024,6,18,8,9.631296666666666
2024,6,18,9,4.70935
2024,6,18,10,4.3120433333333335
2024,6,18,11,4.50272
2024,6,18,12,3.657173333333333
2024,6,18,13,4.226719999999999
2024,6,18,14,5.725993333333334
2024,6,18,15,6.69203
2024,6,18,16,10.247733333333334
2024,6,18,17,15.806956666666666
2024,6,18,18,23.310630000000003
2024,6,18,19,31.547126666666667
2024,6,18,20,44.47651333333334
2024,6,18,21,49.28269333333333
2024,6,18,22,38.896816666666666
2024,6,18,23,31.863106666666663
2024,6,18,24,28.957263333333334
2024,6,19,1,33.32316
2024,6,19,2,29.24912
2024,6,19,3,28.707876666666667
2024,6,19,4,28.16584333333333
2024,6,19,5,31.036023333333333
2024,6,19,6,32.45010333333334
2024,6,19,7,27.256013333333332
2024,6,19,8,8.615216666666667
2024,6,19,9,0.5331499999999999
2024,6,19,10,-3.65225
2024,6,19,11,-2.6949400000000003
2024,6,19,12,-2.7396733333333336
2024,6,19,13,-2.7507633333333334
2024,6,19,14,-2.5007433333333333
2024,6,19,15,-2.4572966666666667
2024,6,19,16,-0.1079666666666667
2024,6,19,17,6.321516666666667
