Year,Month,Day,Hour,$/MWh
2023,12,25,13,20.35786
2023,12,25,14,21.92024
2023,12,25,15,23.24405
2023,12,25,16,40.62717
2023,12,25,17,50.69266
2023,12,25,18,51.9417
2023,12,25,19,50.87469
2023,12,25,20,51.23302
2023,12,25,21,51.15244
2023,12,25,22,51.33537
2023,12,25,23,50.43382
2023,12,25,24,48.88517
2023,12,26,1,47.10835
2023,12,26,2,41.48798
2023,12,26,3,41.6117
2023,12,26,4,41.50003
2023,12,26,5,45.03603
2023,12,26,6,47.90802
2023,12,26,7,50.55612
2023,12,26,8,50.46157
2023,12,26,9,39.83595
2023,12,26,10,37.25433
2023,12,26,11,35.6192
2023,12,26,12,35.06632
2023,12,26,13,33.03792
2023,12,26,14,32.18009
2023,12,26,15,35.38493
2023,12,26,16,41.45298
2023,12,26,17,55.42059
2023,12,26,18,57.83876
2023,12,26,19,56.58671
2023,12,26,20,54.95231
2023,12,26,21,53.83016
2023,12,26,22,53.21117
2023,12,26,23,52.43536
2023,12,26,24,46.20152
2023,12,27,1,43.11809
2023,12,27,2,41.3081
2023,12,27,3,40.1872
2023,12,27,4,40.19789
2023,12,27,5,40.71723
2023,12,27,6,46.94946
2023,12,27,7,50.38731
2023,12,27,8,49.26532
2023,12,27,9,40.54332
2023,12,27,10,37.9963
2023,12,27,11,37.47988
2023,12,27,12,36.77416
2023,12,27,13,38.29104
2023,12,27,14,39.72989
2023,12,27,15,40.88746
2023,12,27,16,47.06522
2023,12,27,17,53.4601
2023,12,27,18,56.33294
2023,12,27,19,53.08166
2023,12,27,20,53.03622
2023,12,27,21,52.25526
2023,12,27,22,51.26635
2023,12,27,23,48.6824
2023,12,27,24,44.83103
2023,12,28,1,47.34334
2023,12,28,2,43.01513
2023,12,28,3,45.35668
2023,12,28,4,42.29183
2023,12,28,5,45.51549
2023,12,28,6,50.46903
2023,12,28,7,51.48991
2023,12,28,8,49.60946
2023,12,28,9,40.32972
2023,12,28,10,36.91076
2023,12,28,11,33.46387
2023,12,28,12,31.24211
2023,12,28,13,28.6238
2023,12,28,14,28.78974
2023,12,28,15,31.96094
2023,12,28,16,42.85793
2023,12,28,17,55.46837
2023,12,28,18,56.30871
2023,12,28,19,56.26152
2023,12,28,20,55.88249
2023,12,28,21,55.36576
2023,12,28,22,55.16185
2023,12,28,23,54.41002
2023,12,28,24,51.33184
2023,12,29,1,47.07693
2023,12,29,2,43.14995
2023,12,29,3,40.98927
2023,12,29,4,40.54715
2023,12,29,5,40.83057
2023,12,29,6,47.26862
2023,12,29,7,49.32707
2023,12,29,8,47.62208
2023,12,29,9,41.10152
2023,12,29,10,39.34997
2023,12,29,11,38.75948
2023,12,29,12,37.96409
2023,12,29,13,37.53417
2023,12,29,14,37.38421
2023,12,29,15,38.98281
2023,12,29,16,41.80912
2023,12,29,17,52.36756
2023,12,29,18,55.33944
2023,12,29,19,52.89747
2023,12,29,20,52.4102
2023,12,29,21,51.86905
2023,12,29,22,51.40076
2023,12,29,23,50.97426
2023,12,29,24,48.82857
2023,12,30,1,44.98406
2023,12,30,2,44.66484
2023,12,30,3,44.52863
2023,12,30,4,44.32594
2023,12,30,5,42.96794
2023,12,30,6,40.79008
2023,12,30,7,42.94442
2023,12,30,8,40.87452
2023,12,30,9,40.23073
2023,12,30,10,36.27323
2023,12,30,11,35.3324
2023,12,30,12,32.78476
2023,12,30,13,28.86977
2023,12,30,14,28.14947
2023,12,30,15,27.91114
2023,12,30,16,39.79477
2023,12,30,17,46.78687
2023,12,30,18,47.11798
2023,12,30,19,47.12305
2023,12,30,20,46.7986
2023,12,30,21,46.80187
2023,12,30,22,46.52605
2023,12,30,23,45.61055
